# CSV-File created with merge-csv.com,,,,,,
title, link ,,lat,lon,,
Scott County Public Library - Indiana,http://www.scott.lib.in.us/,IN,39.849426,-86.258278,,
Sheridan Public Library,http://www.sheridan.lib.in.us/,IN,39.849426,-86.258278,,
South Whitley-Cleveland Township Public Library,http://www.swhitley.lib.in.us,IN,39.849426,-86.258278,,
Speedway Public Library,http://www.speedway.lib.in.us/,IN,39.849426,-86.258278,,
Spencer County Public Library,http://www.rockport-spco.lib.in.us/Spencer_County_Public_Library_-_Main.html,IN,39.849426,-86.258278,,
St. Joseph County Public Library,http://sjcpl.lib.in.us/,IN,39.849426,-86.258278,,
Starke County Public Library,http://www.scpl.lib.in.us/,IN,39.849426,-86.258278,,
Sullivan County Public Library,http://www.sullivan.lib.in.us/,IN,39.849426,-86.258278,,
Switzerland County Public Library,http://www.scpl.us,IN,39.849426,-86.258278,,
Syracuse-Turkey Creek Township Public Library,http://www.syracuse.lib.in.us/,IN,39.849426,-86.258278,,
Tell City-Perry County Public Library,http://www.tcpclibrary.org/,IN,39.849426,-86.258278,,
Thorntown Public Library,http://www.bccn.boone.in.us/tpl/,IN,39.849426,-86.258278,,
Tippecanoe County Public Library,http://www.tcpl.lib.in.us/,IN,39.849426,-86.258278,,
Tipton County Public Library,http://www.tiptonpl.lib.in.us/,IN,39.849426,-86.258278,,
Tyson Library,http://www.tysonlibrary.org/,IN,39.849426,-86.258278,,
Union County Public Library - Indiana,http://ucplibrary.org/,IN,39.849426,-86.258278,,
Van Buren Public Library,http://www.vbpl.lib.in.us/,IN,39.849426,-86.258278,,
Vigo County Public Library,http://www.vigo.lib.in.us/,IN,39.849426,-86.258278,,
Wabash Carnegie Public Library,http://www.wabash.lib.in.us/,IN,39.849426,-86.258278,,
Wakarusa-Olive Harrison Township Public LIbrary,http://www.wakarusa.lib.in.us/,IN,39.849426,-86.258278,,
Walton and Tipton Township Public Library,http://walton.avcnet.com/,IN,39.849426,-86.258278,,
Warsaw Community Public Library,http://www.warsawlibrary.org/,IN,39.849426,-86.258278,,
Waterloo Grant Township Public Library,http://www.waterloo.lib.in.us/,IN,39.849426,-86.258278,,
Wells County Public Library,http://www.wellscolibrary.org/,IN,39.849426,-86.258278,,
West Lafayette Public Library,http://www.wlaf.lib.in.us/,IN,39.849426,-86.258278,,
West Lebanon Pike Township Public Library,http://www.westlebanon.lib.in.us/,IN,39.849426,-86.258278,,
Westchester Public Library,http://wpl.lib.in.us/,IN,39.849426,-86.258278,,
Westfield Washington Public Library,http://www.wwpl.lib.in.us/,IN,39.849426,-86.258278,,
